python,java,ml,sql,web_dev,interest,cgpa,projects,career
0,0,0,0,1,1,7.1,1,Frontend Developer
0,0,0,0,1,1,8.1,2,Frontend Developer
0,0,0,0,1,1,7.1,4,Frontend Developer
0,0,0,0,1,1,7.8,4,Frontend Developer
0,0,0,0,1,1,8.7,5,Frontend Developer
0,0,0,0,1,1,6.7,3,Frontend Developer
0,0,0,0,1,1,8.8,2,Frontend Developer
0,0,0,0,1,1,7.1,3,Frontend Developer
0,0,0,0,1,1,7.6,4,Frontend Developer
0,0,0,0,1,1,6.6,3,Frontend Developer
0,0,0,0,1,1,8.6,1,Frontend Developer
0,0,0,0,1,1,8.9,2,Frontend Developer
0,0,0,0,1,1,8.2,3,Frontend Developer
0,0,0,0,1,1,6.8,3,Frontend Developer
0,0,0,0,1,1,6.7,5,Frontend Developer
0,0,0,0,1,1,8.8,4,Frontend Developer
0,0,0,0,1,1,8.8,4,Frontend Developer
0,0,0,0,1,1,6.7,4,Frontend Developer
0,0,0,0,1,1,7.1,2,Frontend Developer
0,0,0,0,1,1,8.7,2,Frontend Developer
0,0,0,0,1,1,8.8,2,Frontend Developer
0,0,0,0,1,1,7.2,3,Frontend Developer
0,0,0,0,1,1,8.3,3,Frontend Developer
0,0,0,0,1,1,6.6,3,Frontend Developer
0,0,0,0,1,1,6.8,2,Frontend Developer
0,0,0,0,1,1,8.7,5,Frontend Developer
0,0,0,0,1,1,8.1,3,Frontend Developer
0,0,0,0,1,1,7.7,3,Frontend Developer
0,0,0,0,1,1,8.3,2,Frontend Developer
0,0,0,0,1,1,6.8,3,Frontend Developer
0,0,0,0,1,1,8.4,3,Frontend Developer
0,0,0,0,1,1,7.2,4,Frontend Developer
0,0,0,0,1,1,8.0,5,Frontend Developer
0,0,0,0,1,1,7.5,3,Frontend Developer
0,0,0,0,1,1,7.6,2,Frontend Developer
0,0,0,0,1,1,6.8,2,Frontend Developer
0,0,0,0,1,1,7.3,5,Frontend Developer
0,0,0,0,1,1,8.5,4,Frontend Developer
0,0,0,0,1,1,8.5,2,Frontend Developer
0,0,0,0,1,1,6.8,2,Frontend Developer
0,0,0,0,1,1,7.8,3,Frontend Developer
0,0,0,0,1,1,6.7,4,Frontend Developer
0,0,0,0,1,1,7.9,1,Frontend Developer
0,0,0,0,1,1,7.0,2,Frontend Developer
0,0,0,0,1,1,7.4,5,Frontend Developer
0,0,0,0,1,1,8.2,3,Frontend Developer
0,0,0,0,1,1,8.1,2,Frontend Developer
0,0,0,0,1,1,8.7,2,Frontend Developer
0,0,0,0,1,1,6.5,5,Frontend Developer
0,0,0,0,1,1,8.2,1,Frontend Developer
0,0,0,0,1,1,7.1,5,Frontend Developer
0,0,0,0,1,1,7.4,3,Frontend Developer
0,0,0,0,1,1,7.5,4,Frontend Developer
0,0,0,0,1,1,7.4,1,Frontend Developer
0,0,0,0,1,1,9.0,4,Frontend Developer
0,0,0,0,1,1,6.8,2,Frontend Developer
0,0,0,0,1,1,6.9,2,Frontend Developer
0,0,0,0,1,1,6.5,5,Frontend Developer
0,0,0,0,1,1,8.9,5,Frontend Developer
0,0,0,0,1,1,7.4,2,Frontend Developer
0,0,0,0,1,1,7.6,3,Frontend Developer
0,0,0,0,1,1,7.8,2,Frontend Developer
0,0,0,0,1,1,8.9,4,Frontend Developer
0,0,0,0,1,1,7.0,1,Frontend Developer
0,0,0,0,1,1,7.2,3,Frontend Developer
0,0,0,0,1,1,7.6,2,Frontend Developer
0,0,0,0,1,1,8.2,1,Frontend Developer
0,0,0,0,1,1,7.9,2,Frontend Developer
0,0,0,0,1,1,7.1,2,Frontend Developer
0,0,0,0,1,1,7.5,4,Frontend Developer
0,0,0,0,1,1,7.6,2,Frontend Developer
0,0,0,0,1,1,8.1,2,Frontend Developer
0,0,0,0,1,1,8.0,2,Frontend Developer
0,0,0,0,1,1,8.1,2,Frontend Developer
0,0,0,0,1,1,7.9,4,Frontend Developer
0,0,0,0,1,1,7.2,1,Frontend Developer
0,0,0,0,1,1,6.5,2,Frontend Developer
0,0,0,0,1,1,8.3,3,Frontend Developer
0,0,0,0,1,1,8.5,4,Frontend Developer
0,0,0,0,1,1,7.6,1,Frontend Developer
0,0,0,0,1,1,8.6,1,Frontend Developer
0,0,0,0,1,1,7.8,4,Frontend Developer
0,0,0,0,1,1,8.0,1,Frontend Developer
0,0,0,0,1,1,7.2,2,Frontend Developer
0,0,0,0,1,1,8.8,4,Frontend Developer
0,0,0,0,1,1,9.0,2,Frontend Developer
0,0,0,0,1,1,8.4,3,Frontend Developer
0,0,0,0,1,1,8.4,4,Frontend Developer
0,0,0,0,1,1,8.5,3,Frontend Developer
0,0,0,0,1,1,7.9,4,Frontend Developer
0,0,0,0,1,1,7.7,3,Frontend Developer
0,0,0,0,1,1,7.5,1,Frontend Developer
0,0,0,0,1,1,8.6,1,Frontend Developer
0,0,0,0,1,1,7.3,3,Frontend Developer
0,0,0,0,1,1,6.8,5,Frontend Developer
0,0,0,0,1,1,7.9,3,Frontend Developer
0,0,0,0,1,1,8.3,5,Frontend Developer
0,0,0,0,1,1,7.5,2,Frontend Developer
0,0,0,0,1,1,7.0,5,Frontend Developer
0,0,0,0,1,1,8.0,5,Frontend Developer
0,0,0,0,1,1,6.5,3,Frontend Developer
0,0,0,0,1,1,8.1,5,Frontend Developer
0,0,0,0,1,1,8.1,4,Frontend Developer
0,0,0,0,1,1,6.7,2,Frontend Developer
0,0,0,0,1,1,7.9,2,Frontend Developer
0,0,0,0,1,1,8.9,4,Frontend Developer
0,0,0,0,1,1,8.3,2,Frontend Developer
0,0,0,0,1,1,7.7,3,Frontend Developer
0,0,0,0,1,1,6.6,3,Frontend Developer
0,0,0,0,1,1,7.9,1,Frontend Developer
0,0,0,0,1,1,7.9,2,Frontend Developer
0,0,0,0,1,1,8.8,3,Frontend Developer
0,0,0,0,1,1,8.4,4,Frontend Developer
0,0,0,0,1,1,7.9,4,Frontend Developer
0,0,0,0,1,1,6.6,1,Frontend Developer
0,0,0,0,1,1,7.9,4,Frontend Developer
0,0,0,0,1,1,8.3,5,Frontend Developer
0,0,0,0,1,1,8.7,1,Frontend Developer
0,0,0,0,1,1,7.9,4,Frontend Developer
0,0,0,0,1,1,8.3,2,Frontend Developer
0,0,0,0,1,1,8.9,4,Frontend Developer
0,0,0,0,1,1,7.7,1,Frontend Developer
0,0,0,0,1,1,7.1,3,Frontend Developer
0,0,0,0,1,1,7.2,3,Frontend Developer
0,0,0,0,1,1,8.2,5,Frontend Developer
0,0,0,0,1,1,6.6,5,Frontend Developer
0,0,0,0,1,1,8.2,1,Frontend Developer
0,0,0,0,1,1,8.7,1,Frontend Developer
0,0,0,0,1,1,8.2,4,Frontend Developer
0,0,0,0,1,1,7.5,3,Frontend Developer
0,0,0,0,1,1,7.6,5,Frontend Developer
0,0,0,0,1,1,8.1,5,Frontend Developer
0,0,0,0,1,1,7.4,1,Frontend Developer
0,0,0,0,1,1,7.3,4,Frontend Developer
0,0,0,0,1,1,8.5,3,Frontend Developer
0,0,0,0,1,1,8.5,1,Frontend Developer
0,0,0,0,1,1,7.3,5,Frontend Developer
0,0,0,0,1,1,7.8,1,Frontend Developer
0,0,0,0,1,1,7.9,1,Frontend Developer
0,0,0,0,1,1,6.8,3,Frontend Developer
0,0,0,0,1,1,7.2,1,Frontend Developer
0,0,0,0,1,1,7.9,2,Frontend Developer
0,0,0,0,1,1,8.1,4,Frontend Developer
0,0,0,0,1,1,7.2,3,Frontend Developer
0,0,0,0,1,1,6.9,4,Frontend Developer
0,0,0,0,1,1,7.7,3,Frontend Developer
0,0,0,0,1,1,8.0,1,Frontend Developer
0,0,0,0,1,1,7.0,4,Frontend Developer
0,0,0,0,1,1,8.3,3,Frontend Developer
0,0,0,0,1,1,8.0,3,Frontend Developer
0,0,0,0,1,1,6.5,1,Frontend Developer
0,0,0,0,1,1,7.4,4,Frontend Developer
0,0,0,0,1,1,7.4,1,Frontend Developer
0,0,0,0,1,1,8.0,2,Frontend Developer
0,0,0,0,1,1,7.8,5,Frontend Developer
0,0,0,0,1,1,8.9,1,Frontend Developer
0,0,0,0,1,1,7.6,4,Frontend Developer
0,0,0,0,1,1,8.2,3,Frontend Developer
0,0,0,0,1,1,7.8,4,Frontend Developer
0,0,0,0,1,1,6.9,5,Frontend Developer
0,0,0,0,1,1,6.6,2,Frontend Developer
0,0,0,0,1,1,8.2,5,Frontend Developer
0,0,0,0,1,1,8.9,1,Frontend Developer
0,0,0,0,1,1,7.8,4,Frontend Developer
0,0,0,0,1,1,7.9,2,Frontend Developer
0,0,0,0,1,1,7.0,5,Frontend Developer
0,0,0,0,1,1,8.0,1,Frontend Developer
0,0,0,0,1,1,8.1,1,Frontend Developer
0,0,0,0,1,1,6.5,1,Frontend Developer
0,0,0,0,1,1,8.0,4,Frontend Developer
0,0,0,0,1,1,7.9,3,Frontend Developer
0,0,0,0,1,1,8.1,5,Frontend Developer
0,0,0,0,1,1,7.0,1,Frontend Developer
0,0,0,0,1,1,6.8,3,Frontend Developer
0,0,0,0,1,1,7.6,3,Frontend Developer
0,0,0,0,1,1,8.4,4,Frontend Developer
0,0,0,0,1,1,7.9,5,Frontend Developer
0,0,0,0,1,1,6.7,2,Frontend Developer
0,0,0,0,1,1,8.4,5,Frontend Developer
0,0,0,0,1,1,9.0,1,Frontend Developer
0,0,0,0,1,1,8.1,5,Frontend Developer
0,0,0,0,1,1,8.4,3,Frontend Developer
0,0,0,0,1,1,8.9,3,Frontend Developer
0,0,0,0,1,1,6.9,5,Frontend Developer
0,0,0,0,1,1,8.9,4,Frontend Developer
0,0,0,0,1,1,7.1,5,Frontend Developer
0,0,0,0,1,1,6.8,1,Frontend Developer
0,0,0,0,1,1,8.2,3,Frontend Developer
0,0,0,0,1,1,7.8,1,Frontend Developer
0,0,0,0,1,1,8.9,2,Frontend Developer
0,0,0,0,1,1,7.2,2,Frontend Developer
0,0,0,0,1,1,6.8,5,Frontend Developer
0,0,0,0,1,1,8.9,1,Frontend Developer
0,0,0,0,1,1,8.6,3,Frontend Developer
0,0,0,0,1,1,7.1,3,Frontend Developer
0,0,0,0,1,1,8.9,3,Frontend Developer
0,0,0,0,1,1,8.9,2,Frontend Developer
0,0,0,0,1,1,6.7,3,Frontend Developer
0,0,0,0,1,1,7.6,1,Frontend Developer
0,0,0,0,1,1,7.4,2,Frontend Developer
0,0,0,0,1,1,7.4,2,Frontend Developer
0,0,0,0,1,1,8.9,1,Frontend Developer
0,0,0,0,1,1,8.3,5,Frontend Developer
0,0,0,0,1,1,7.7,3,Frontend Developer
0,0,0,0,1,1,8.5,3,Frontend Developer
0,0,0,0,1,1,7.8,5,Frontend Developer
0,0,0,0,1,1,8.6,3,Frontend Developer
0,0,0,0,1,1,8.7,2,Frontend Developer
0,0,0,0,1,1,8.0,2,Frontend Developer
0,0,0,0,1,1,8.6,2,Frontend Developer
0,0,0,0,1,1,8.0,1,Frontend Developer
0,0,0,0,1,1,7.7,1,Frontend Developer
0,0,0,0,1,1,6.8,1,Frontend Developer
0,0,0,0,1,1,8.9,1,Frontend Developer
0,0,0,0,1,1,7.4,3,Frontend Developer
0,0,0,0,1,1,6.7,5,Frontend Developer
0,0,0,0,1,1,6.7,3,Frontend Developer
0,0,0,0,1,1,9.0,1,Frontend Developer
0,0,0,0,1,1,8.1,3,Frontend Developer
0,0,0,0,1,1,6.8,1,Frontend Developer
0,0,0,0,1,1,7.6,1,Frontend Developer
0,0,0,0,1,1,8.1,2,Frontend Developer
0,0,0,0,1,1,7.0,1,Frontend Developer
