python,java,ml,sql,web_dev,interest,cgpa,projects,career
0,0,0,0,0,2,6.06,1,Cloud Engineer
1,1,0,0,0,3,8.28,5,Backend Developer
1,0,1,1,1,0,7.11,6,Full Stack Developer
1,1,0,1,0,0,8.21,4,Backend Developer
1,1,0,1,0,0,6.24,1,Backend Developer
0,0,0,1,0,3,8.86,4,Data Analyst
1,0,0,0,0,1,8.75,4,Cloud Engineer
1,1,1,1,1,1,7.13,1,Full Stack Developer
0,0,0,1,0,2,8.17,1,Data Analyst
1,1,0,1,0,0,7.27,2,Backend Developer
1,1,0,1,0,3,7.13,1,Backend Developer
1,0,0,0,0,3,9.0,3,Cyber Security Analyst
0,0,1,0,1,3,6.1,3,Frontend Developer
1,0,1,1,1,1,6.67,6,Full Stack Developer
0,1,1,1,1,0,7.24,4,Full Stack Developer
0,1,0,1,1,0,8.6,3,Full Stack Developer
0,0,1,0,0,3,7.56,4,Cyber Security Analyst
0,1,0,1,0,2,9.14,5,Backend Developer
0,0,0,0,0,2,7.15,3,Cloud Engineer
1,0,1,1,0,1,8.4,3,AI Engineer
0,1,1,0,1,2,9.29,2,Full Stack Developer
1,0,0,0,1,2,9.17,3,Full Stack Developer
1,1,0,0,1,0,7.58,5,Full Stack Developer
0,0,1,0,0,2,7.99,5,Cloud Engineer
0,1,1,0,0,2,8.03,1,Backend Developer
1,1,0,0,0,2,7.03,5,Backend Developer
1,1,1,0,0,0,8.93,6,Backend Developer
1,1,0,1,1,0,7.6,3,Full Stack Developer
0,0,1,1,1,1,7.57,5,Frontend Developer
1,1,0,0,1,2,6.83,5,Full Stack Developer
0,1,1,0,0,0,7.0,6,Backend Developer
0,0,1,1,1,1,9.13,4,Frontend Developer
1,0,0,1,1,3,8.16,6,Full Stack Developer
0,1,0,0,0,2,8.16,4,Backend Developer
1,1,1,0,1,1,7.11,3,Full Stack Developer
1,1,1,0,1,0,8.14,4,Full Stack Developer
0,1,0,1,0,2,7.32,4,Backend Developer
0,1,0,0,0,0,8.57,2,Backend Developer
1,1,1,1,0,1,6.03,3,Backend Developer
0,0,1,0,1,1,6.32,6,Frontend Developer
1,0,0,1,0,2,6.5,3,Data Scientist
0,1,0,1,1,2,7.11,3,Full Stack Developer
0,0,0,0,0,0,6.55,5,Full Stack Developer
1,0,0,1,0,0,8.29,4,Software Engineer
0,1,1,0,1,2,9.35,3,Full Stack Developer
0,1,1,0,1,2,6.33,5,Full Stack Developer
0,0,1,0,1,2,8.13,3,Frontend Developer
0,1,0,0,0,2,6.44,3,Backend Developer
1,1,1,0,1,3,6.88,2,Full Stack Developer
0,1,1,0,0,2,7.65,4,Backend Developer
0,1,0,0,1,0,6.65,6,Full Stack Developer
0,1,1,0,0,0,8.56,2,Backend Developer
1,1,1,0,1,2,7.19,5,Full Stack Developer
1,1,0,0,0,1,8.1,6,Backend Developer
0,1,0,1,1,1,6.86,5,Full Stack Developer
1,1,0,1,1,1,8.02,5,Full Stack Developer
0,1,1,0,1,0,7.74,5,Full Stack Developer
0,0,1,0,0,2,9.38,5,Cloud Engineer
0,1,1,0,1,2,7.09,2,Full Stack Developer
1,1,0,0,0,1,7.98,4,Backend Developer
0,0,0,0,0,0,7.42,1,Data Analyst
1,0,0,0,0,0,6.82,5,Software Engineer
0,1,0,1,1,0,8.58,2,Full Stack Developer
0,0,0,1,0,0,8.77,2,Data Analyst
1,0,1,0,0,1,8.2,1,AI Engineer
0,0,1,0,0,3,8.27,2,Cyber Security Analyst
1,0,1,0,1,1,6.24,6,Full Stack Developer
0,0,0,1,1,2,6.08,3,Frontend Developer
0,1,1,1,0,2,8.68,5,Backend Developer
0,0,0,0,0,3,8.97,5,Cyber Security Analyst
1,1,1,1,1,2,7.09,1,Full Stack Developer
0,1,1,0,0,3,8.29,6,Backend Developer
1,0,0,0,0,3,6.72,1,Cyber Security Analyst
0,1,1,1,1,3,7.32,5,Full Stack Developer
0,1,0,0,0,1,7.05,6,Backend Developer
0,1,0,1,1,0,6.43,4,Full Stack Developer
0,0,1,1,0,0,7.67,3,Data Analyst
0,1,0,0,1,2,8.29,4,Full Stack Developer
1,0,1,0,0,0,7.99,5,Machine Learning Engineer
1,1,1,0,0,2,8.07,3,Backend Developer
0,0,1,1,0,3,7.33,5,Data Analyst
1,0,0,1,0,2,8.26,2,Data Scientist
0,1,1,0,1,1,9.25,6,Full Stack Developer
1,1,0,0,1,2,8.3,1,Full Stack Developer
1,1,1,0,0,1,7.27,4,Backend Developer
0,1,0,1,0,0,6.96,3,Backend Developer
0,1,0,1,0,0,9.25,3,Backend Developer
1,0,0,1,1,2,8.76,5,Full Stack Developer
1,0,1,1,1,3,9.35,2,Full Stack Developer
0,1,1,0,0,1,8.55,6,Backend Developer
0,1,0,0,1,1,6.05,5,Full Stack Developer
1,1,0,0,0,2,6.47,6,Backend Developer
1,1,1,0,1,1,7.95,4,Full Stack Developer
1,1,1,0,1,2,9.25,3,Full Stack Developer
0,1,1,0,1,3,8.43,3,Full Stack Developer
1,1,1,0,1,1,8.07,4,Full Stack Developer
1,1,0,1,0,0,8.91,2,Backend Developer
0,1,1,1,1,0,7.44,3,Full Stack Developer
1,0,1,0,1,1,6.93,1,Full Stack Developer
0,1,0,1,1,3,8.07,5,Full Stack Developer
1,1,0,0,0,3,8.32,6,Backend Developer
1,0,0,1,0,3,8.52,5,Cyber Security Analyst
0,0,0,1,1,0,7.32,3,Frontend Developer
0,0,0,1,1,3,9.25,1,Frontend Developer
1,0,0,1,1,2,6.6,6,Full Stack Developer
0,0,0,1,1,3,6.44,4,Frontend Developer
1,1,0,0,1,1,7.64,3,Full Stack Developer
0,0,0,1,1,3,6.52,6,Frontend Developer
0,0,0,1,1,1,6.27,4,Frontend Developer
0,0,1,0,1,0,6.82,5,Frontend Developer
0,1,1,0,0,0,7.56,4,Backend Developer
0,0,1,0,0,0,6.57,4,Cyber Security Analyst
1,1,0,1,1,0,7.51,3,Full Stack Developer
1,0,0,0,1,0,9.06,2,Full Stack Developer
1,0,1,1,1,1,9.06,6,Full Stack Developer
0,0,0,0,1,3,6.57,6,Frontend Developer
0,0,1,0,0,2,9.32,5,Cloud Engineer
1,0,1,0,0,2,6.75,6,Machine Learning Engineer
1,1,0,1,1,1,9.38,3,Full Stack Developer
0,0,1,1,0,3,6.23,2,Data Analyst
1,0,0,1,1,2,8.29,6,Full Stack Developer
1,1,0,0,1,0,7.37,5,Full Stack Developer
1,0,0,1,1,3,8.9,4,Full Stack Developer
1,1,0,0,1,0,6.88,2,Full Stack Developer
0,1,0,0,1,0,6.23,3,Full Stack Developer
0,0,0,1,1,2,9.35,2,Frontend Developer
0,0,0,1,0,0,6.2,3,Data Analyst
1,0,0,1,1,1,7.07,1,Full Stack Developer
1,0,1,1,0,3,6.84,3,Machine Learning Engineer
1,0,1,0,1,2,7.14,1,Full Stack Developer
1,0,0,1,0,0,6.62,6,Software Engineer
0,0,1,0,1,3,9.3,6,Frontend Developer
1,0,0,0,0,0,9.47,2,Software Engineer
0,0,0,0,1,3,8.87,1,Frontend Developer
1,1,0,0,0,3,6.98,6,Backend Developer
1,1,0,1,1,2,8.28,4,Full Stack Developer
1,0,0,1,1,0,8.41,5,Full Stack Developer
0,0,0,1,1,3,8.61,1,Frontend Developer
1,1,1,1,1,2,7.75,2,Full Stack Developer
1,1,0,0,1,2,8.47,6,Full Stack Developer
0,1,1,1,1,2,8.63,5,Full Stack Developer
0,1,1,0,1,0,7.56,5,Full Stack Developer
1,1,0,1,1,0,8.97,5,Full Stack Developer
0,1,1,0,0,3,6.73,5,Backend Developer
1,0,1,1,0,3,9.36,4,AI Engineer
1,0,1,0,0,3,7.59,6,Machine Learning Engineer
1,1,1,1,0,3,8.83,2,Backend Developer
1,1,0,1,0,1,8.4,6,Backend Developer
0,0,1,1,1,3,7.08,4,Frontend Developer
1,0,0,1,1,3,8.99,3,Full Stack Developer
0,1,0,0,1,0,6.7,4,Full Stack Developer
0,1,1,0,1,0,8.44,2,Full Stack Developer
1,0,0,1,0,1,8.98,5,Backend Developer
1,0,0,1,1,0,6.38,3,Full Stack Developer
0,0,1,1,1,0,6.79,5,Frontend Developer
1,1,1,1,0,1,6.98,6,Backend Developer
0,0,0,1,1,3,7.38,2,Frontend Developer
1,0,1,1,0,1,6.71,6,Machine Learning Engineer
1,1,1,1,1,0,6.96,6,Full Stack Developer
1,1,1,1,0,0,7.47,2,Backend Developer
0,0,1,0,0,0,6.22,2,Data Analyst
1,0,0,0,0,2,8.65,1,Cloud Engineer
0,1,1,0,0,0,9.39,6,Backend Developer
0,1,0,0,0,1,7.89,4,Backend Developer
1,1,0,0,1,3,6.83,2,Full Stack Developer
0,1,0,1,0,2,8.39,1,Backend Developer
1,1,0,0,0,2,9.0,3,Backend Developer
1,0,0,1,1,1,8.3,2,Full Stack Developer
1,0,1,0,0,0,9.41,3,AI Engineer
1,0,0,1,1,1,9.2,2,Full Stack Developer
1,0,1,0,1,3,7.9,4,Full Stack Developer
1,1,1,1,0,3,8.87,2,Backend Developer
0,1,0,1,1,0,6.8,4,Full Stack Developer
0,0,1,1,0,0,8.91,5,Data Analyst
0,0,0,1,0,1,8.81,1,Data Analyst
0,0,1,0,0,3,6.54,5,Cyber Security Analyst
0,0,0,0,1,3,8.34,3,Frontend Developer
1,1,0,1,1,0,8.34,6,Full Stack Developer
1,1,1,1,1,1,7.02,1,Full Stack Developer
1,1,0,1,0,2,6.62,1,Backend Developer
1,1,1,0,1,0,8.84,4,Full Stack Developer
1,0,0,0,0,2,8.57,2,Cloud Engineer
0,0,0,0,1,3,6.9,6,Frontend Developer
1,1,0,0,1,1,9.18,4,Full Stack Developer
0,1,1,1,0,3,6.15,2,Backend Developer
0,1,0,0,1,0,6.89,4,Full Stack Developer
0,0,0,0,0,3,7.02,4,Cyber Security Analyst
1,1,1,1,0,3,7.69,1,Backend Developer
1,1,1,0,0,3,9.01,4,Backend Developer
1,1,1,1,1,3,7.09,6,Full Stack Developer
1,1,1,0,0,3,6.25,1,Backend Developer
1,1,0,0,1,2,8.64,6,Full Stack Developer
0,0,0,1,0,1,7.99,2,Data Analyst
1,0,1,1,1,0,6.37,5,Full Stack Developer
1,0,0,1,1,1,8.8,3,Full Stack Developer
0,0,0,1,1,3,6.13,5,Frontend Developer
0,0,1,1,1,2,6.77,1,Frontend Developer
0,1,0,0,1,3,6.23,1,Full Stack Developer
0,0,0,0,0,0,8.59,6,DevOps Engineer
0,1,0,1,1,2,7.17,6,Full Stack Developer
0,0,0,1,0,0,8.68,5,Data Analyst
1,1,1,0,0,2,7.74,3,Backend Developer
0,1,0,0,1,1,7.78,2,Full Stack Developer
1,0,1,1,1,3,7.22,5,Full Stack Developer
1,0,1,1,1,3,6.11,6,Full Stack Developer
1,1,1,0,1,1,9.36,2,Full Stack Developer
0,1,0,0,1,1,7.24,2,Full Stack Developer
0,1,0,1,1,1,8.56,4,Full Stack Developer
1,1,0,0,1,3,8.09,3,Full Stack Developer
0,1,0,0,0,0,7.99,3,Backend Developer
0,1,0,1,0,3,7.83,6,Backend Developer
0,0,1,1,1,1,7.8,6,Frontend Developer
1,1,1,1,0,2,9.34,5,Backend Developer
1,0,1,1,1,3,8.49,3,Full Stack Developer
1,0,0,0,1,1,7.42,4,Full Stack Developer
0,1,0,0,1,1,8.32,5,Full Stack Developer
0,0,0,0,0,0,9.29,3,DevOps Engineer
0,1,0,1,0,1,8.07,4,Backend Developer
0,0,1,1,1,3,7.22,4,Frontend Developer
1,1,0,0,0,2,6.83,3,Backend Developer
1,1,0,1,0,1,8.24,4,Backend Developer
0,0,0,1,1,3,6.1,3,Frontend Developer
0,0,0,0,1,0,6.06,3,Frontend Developer
1,1,0,1,1,1,7.21,6,Full Stack Developer
1,1,0,1,1,3,9.47,5,Full Stack Developer
0,1,1,1,0,0,7.51,1,Backend Developer
1,1,0,1,1,1,7.43,1,Full Stack Developer
0,0,0,1,1,3,7.06,5,Frontend Developer
0,1,0,0,0,2,6.82,4,Backend Developer
0,0,1,0,1,2,7.25,3,Frontend Developer
1,0,0,1,0,1,8.12,4,Full Stack Developer
1,1,1,0,0,2,7.43,2,Backend Developer
0,1,1,0,0,0,9.22,5,Backend Developer
1,0,1,1,0,1,8.38,1,AI Engineer
0,0,0,0,1,0,7.4,5,Frontend Developer
0,0,1,1,1,2,6.49,6,Frontend Developer
1,0,0,0,0,0,8.49,2,Software Engineer
1,0,0,1,0,1,8.18,6,DevOps Engineer
1,1,0,0,0,0,7.9,3,Backend Developer
1,0,1,0,0,2,8.21,6,AI Engineer
1,0,1,0,0,2,7.84,4,Machine Learning Engineer
1,0,0,0,0,2,7.83,5,Cloud Engineer
0,1,1,1,1,3,8.15,2,Full Stack Developer
0,1,0,0,0,2,9.32,4,Backend Developer
0,1,1,0,1,0,7.42,3,Full Stack Developer
0,1,1,1,0,3,8.12,2,Backend Developer
0,0,0,1,1,3,6.62,2,Frontend Developer
0,1,1,1,1,1,9.27,6,Full Stack Developer
0,1,1,0,1,2,6.82,1,Full Stack Developer
1,0,1,0,1,1,7.02,5,Full Stack Developer
1,1,0,1,0,0,6.04,4,Backend Developer
1,1,1,0,1,1,7.16,2,Full Stack Developer
0,0,0,0,0,2,7.76,6,Cloud Engineer
1,0,1,0,0,1,6.73,6,Machine Learning Engineer
0,1,0,1,0,1,7.02,2,Backend Developer
1,1,1,0,0,2,6.82,4,Backend Developer
0,0,1,0,1,2,8.33,4,Frontend Developer
0,0,0,1,0,1,6.98,2,Data Analyst
0,1,0,0,0,3,6.41,1,Backend Developer
0,1,1,1,1,2,6.64,2,Full Stack Developer
0,0,1,0,0,2,6.49,6,Cloud Engineer
1,0,1,0,0,1,6.49,3,Machine Learning Engineer
0,0,1,1,1,3,7.39,6,Frontend Developer
1,1,0,1,0,3,9.35,3,Backend Developer
1,1,1,1,1,3,8.77,1,Full Stack Developer
0,1,1,0,0,0,6.24,6,Backend Developer
0,0,1,0,1,0,6.82,2,Frontend Developer
0,1,0,0,0,2,9.02,3,Backend Developer
1,0,0,0,0,1,7.18,1,Cloud Engineer
1,1,0,1,0,2,8.58,1,Backend Developer
0,1,0,1,1,0,9.37,5,Full Stack Developer
0,0,1,0,0,1,7.69,5,Cyber Security Analyst
0,1,1,0,0,0,7.17,6,Backend Developer
1,0,0,1,0,1,8.56,5,Mobile App Developer
1,1,0,0,1,0,7.41,2,Full Stack Developer
0,0,1,0,0,3,8.68,1,Cyber Security Analyst
1,1,1,0,1,1,6.23,5,Full Stack Developer
0,0,1,1,1,0,6.27,5,Frontend Developer
0,1,0,0,1,3,6.88,2,Full Stack Developer
0,1,0,1,0,2,6.13,3,Backend Developer
1,1,1,0,1,2,6.93,1,Full Stack Developer
0,0,1,0,1,1,7.57,3,Frontend Developer
0,0,1,0,0,3,7.74,4,Cyber Security Analyst
0,0,0,1,1,0,8.69,5,Frontend Developer
1,1,0,0,0,2,7.77,5,Backend Developer
1,0,1,0,0,2,9.0,6,AI Engineer
0,1,0,1,0,1,8.88,5,Backend Developer
1,0,0,0,0,3,7.05,3,Cyber Security Analyst
1,1,1,1,0,2,9.36,6,Backend Developer
0,1,0,0,0,1,7.29,3,Backend Developer
